system,r_A,U,force_column
CO2,2.164481096,19.5358482,26.22534929
CO2,2.184517958,19.01037449,26.22534927
CO2,2.20455482,18.48490079,26.22534928
CO2,2.224591682,17.95942708,26.22534932
CO2,2.244628544,17.43395338,26.22534938
CO2,2.264665406,16.90847967,26.22534942
CO2,2.284702268,16.38300596,26.22534944
CO2,2.30473913,15.85753226,26.22534943
CO2,2.324775992,15.33206288,26.22187421
CO2,2.344812854,14.80691012,26.19804708
CO2,2.364849716,14.28215916,26.1817688
CO2,2.384886578,13.75765873,26.17303936
CO2,2.40492344,13.23325758,26.17185878
CO2,2.424960302,12.7088389,26.13820351
CO2,2.444997164,12.18942039,25.72005525
CO2,2.465034026,11.677661,25.37370071
CO2,2.485070888,11.1721222,25.0991399
CO2,2.50510775,10.67136549,24.89637282
CO2,2.525144612,10.17398946,24.68759339
CO2,2.545181474,9.696111419,23.03815476
CO2,2.565218336,9.249728492,21.54387655
